tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,-7.86, 50.00
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,-6.91, 48.00
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,-13.44, 50.00
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,5.77, 37.00
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,-4.50, 35.00
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,1.30, 30.00
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,-5.52, 49.00
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,2.83, 41.00
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,-6.28, 50.00
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,-10.24, 49.00
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,0.24, 46.00
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,-18.18, 52.00
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,6.47, 28.00
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,-1.24, 47.00
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,-3.66, 49.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,-4.12, 50.00
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,-21.20, 62.00
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,3.48, 46.00
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,-1.48, 39.00
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,0.48, 37.00
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,-2.43, 50.00
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,-14.31, 61.00
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,5.84, 42.00
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,4.77, 38.00
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,15.01, 38.00
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,-15.15, 57.00
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,-4.65, 45.00
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,-3.13, 52.00
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,9.33, 39.00
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,11.72, 38.00
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,-5.27, 50.00
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,11.80, 45.00
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,-7.91, 55.00
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,8.15, 35.00
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,2.02, 48.00
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,4.37, 46.00
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,-7.41, 59.00
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,2.70, 44.00
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,16.94, 44.00
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,12.53, 41.00
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,3.93, 42.00
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,-6.83, 58.00
