tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,43.16, -6.84
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.02, -5.98
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,39.93, -10.07
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,43.88, 6.88
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,37.69, 2.69
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,37.10, 7.10
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.75, -4.25
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,45.39, 4.39
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,43.96, -6.04
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,41.93, -7.07
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.64, -0.36
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,40.62, -11.38
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,40.84, 12.84
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,46.58, -0.42
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,46.56, -2.44
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,44.95, -5.05
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,43.01, -18.99
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,46.50, 0.50
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,42.24, 3.24
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,43.31, 6.31
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,47.97, -2.03
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,47.13, -13.87
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,45.27, 3.27
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,43.27, 5.27
