tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,43.51, -6.49
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.76, -4.24
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,41.04, -8.96
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,49.77, 12.77
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,36.83, 1.83
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,31.33, 1.33
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,48.94, -0.06
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,45.44, 4.44
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,46.47, -3.53
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,43.65, -5.35
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,54.23, 8.23
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,41.64, -10.36
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,34.19, 6.19
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,51.46, 4.46
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,46.27, -2.73
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,48.23, -1.77
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,45.61, -16.39
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,58.45, 12.45
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,46.11, 7.11
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,36.43, -0.57
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,53.43, 3.43
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,46.50, -14.50
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,49.41, 7.41
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,47.12, 9.12
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,62.37, 24.37
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,50.62, -6.38
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,38.37, -6.63
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,54.90, 2.90
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,47.06, 8.06
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,50.10, 12.10
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,48.63, -1.37
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,66.04, 21.04
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,57.20, 2.20
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,40.51, 5.51
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,56.24, 8.24
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,47.60, 1.60
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.49, -8.51
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,49.94, 5.94
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,69.56, 25.56
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,64.73, 23.73
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,42.53, 0.53
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,57.38, -0.62
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,115.03, 22.03
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,111.67, -6.33
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,109.58, 3.58
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,102.01, -3.99
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,74.73, -4.27
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,69.78, 12.78
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,125.19, -11.81
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,120.78, -13.22
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,117.22, 6.22
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,113.80, 13.80
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,105.11, -1.89
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,80.85, -8.15
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,78.34, 10.34
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,127.50, -23.50
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,122.87, 1.87
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,118.76, 9.76
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,114.10, 0.10
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,105.11, 11.11
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,84.36, -1.64
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,84.82, 0.82
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,126.44, -8.56
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,122.82, 36.82
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,118.18, -2.82
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,112.58, -5.42
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,103.56, -3.44
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,85.77, -1.23
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,88.97, 8.97
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,124.16, -3.84
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,121.96, 13.96
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,116.71, 24.71
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,110.62, 4.62
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,101.50, -30.50
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,85.81, 5.81
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,91.56, -13.44
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,121.48, 5.48
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,120.72, 7.72
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,114.92, 3.92
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,108.47, -6.53
