tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.85, -3.15
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.00, -3.00
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,41.49, -8.51
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,45.00, 8.00
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,37.98, 2.98
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,35.56, 5.56
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,46.98, -2.02
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.70, 8.70
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,47.42, -2.58
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,44.08, -4.92
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.21, 1.21
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,41.05, -10.95
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,38.98, 10.98
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,49.74, 2.74
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.52, 1.52
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,48.27, -1.73
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,45.25, -16.75
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,48.32, 2.32
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,42.62, 3.62
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,40.97, 3.97
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,50.80, 0.80
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,50.09, -10.91
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.99, 5.99
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,45.31, 7.31
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.40, 10.40
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,43.13, -13.87
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,41.87, -3.13
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,50.51, -1.49
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,48.88, 9.88
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,47.01, 9.01
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,44.67, -5.33
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,47.77, 2.77
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,42.96, -12.04
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,42.06, 7.06
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,49.33, 1.33
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,47.27, 1.27
