tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,47.35, -2.65
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,44.97, -3.03
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.28, -7.72
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,44.72, 7.72
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,36.35, 1.35
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,33.41, 3.41
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,50.25, 1.25
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.27, 8.27
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,47.09, -2.91
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,44.64, -4.36
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.13, 1.13
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,39.28, -12.72
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,36.47, 8.47
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,51.55, 4.55
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.28, 0.28
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.55, -2.45
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,45.56, -16.44
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,48.21, 2.21
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,40.96, 1.96
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,38.47, 1.47
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,51.05, 1.05
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,48.10, -12.90
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,46.90, 4.90
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,45.43, 7.43
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.27, 10.27
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,41.75, -15.25
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,39.66, -5.34
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,49.32, -2.68
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,46.27, 7.27
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,45.60, 7.60
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,44.65, -5.35
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,47.65, 2.65
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,41.94, -13.06
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,40.29, 5.29
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,46.95, -1.05
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,44.19, -1.81
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,43.99, -15.01
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,43.51, -0.49
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,46.65, 2.65
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,41.75, 0.75
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,40.54, -1.46
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,44.39, -13.61
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,114.80, 21.80
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,111.37, -6.63
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,110.98, 4.98
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,105.35, -0.65
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,70.74, -8.26
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,60.98, 3.98
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,128.15, -8.85
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,120.44, -13.56
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,117.83, 6.83
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,117.75, 17.75
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,111.27, 4.27
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,78.28, -10.72
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,67.67, -0.33
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,131.62, -19.38
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,122.21, 1.21
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,119.96, 10.96
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,119.56, 5.56
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,113.87, 19.87
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,83.95, -2.05
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,72.85, -11.15
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,130.71, -4.29
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,121.31, 35.31
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,119.27, -1.73
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,118.46, 0.46
