tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.93, -3.07
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.83, -4.17
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.75, -9.25
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,42.78, 5.78
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,35.42, 0.42
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,32.40, 2.40
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,48.84, -0.16
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.14, 8.14
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,46.09, -3.91
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,43.18, -5.82
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.21, -0.79
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,37.68, -14.32
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,34.74, 6.74
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,51.67, 4.67
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.75, 0.75
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.14, -2.86
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,44.46, -17.54
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,46.72, 0.72
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,39.42, 0.42
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,36.71, -0.29
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,52.06, 2.06
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.14, -11.86
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.05, 5.05
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,44.72, 6.72
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,47.15, 9.15
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,40.54, -16.46
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,38.18, -6.82
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,50.84, -1.16
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,47.77, 8.77
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,46.17, 8.17
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,44.27, -5.73
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,46.77, 1.77
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,41.06, -13.94
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,39.16, 4.16
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,48.87, 0.87
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,46.07, 0.07
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,44.91, -14.09
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,43.46, -0.54
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,45.95, 1.95
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,41.18, 0.18
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,39.74, -2.26
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,46.72, -11.28
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,105.26, 12.26
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,118.19, 0.19
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,121.23, 15.23
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,114.42, 8.42
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,70.69, -8.31
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,58.04, 1.04
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,117.53, -19.47
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,110.04, -23.96
